,target
0,Bird
1,Airplane
2,Airplane
3,Airplane
4,Airplane
5,Bird
6,Airplane
7,Bird
8,Bird
9,Bird
10,Airplane
11,Airplane
12,Airplane
13,Airplane
14,Bird
15,Bird
16,Airplane
17,Bird
18,Airplane
19,Bird
20,Bird
21,Airplane
22,Bird
23,Airplane
24,Bird
25,Bird
26,Airplane
27,Bird
28,Airplane
29,Bird
30,Bird
31,Airplane
32,Airplane
33,Airplane
34,Bird
35,Bird
36,Bird
37,Airplane
38,Airplane
39,Airplane
40,Airplane
41,Bird
42,Airplane
43,Bird
44,Bird
45,Airplane
46,Airplane
47,Airplane
48,Bird
49,Airplane
50,Airplane
51,Airplane
52,Airplane
53,Airplane
54,Airplane
55,Airplane
56,Airplane
57,Airplane
58,Airplane
59,Airplane
60,Bird
61,Bird
62,Bird
63,Bird
64,Bird
65,Bird
66,Airplane
67,Bird
68,Airplane
69,Bird
70,Airplane
71,Bird
72,Bird
73,Bird
74,Airplane
75,Bird
76,Airplane
77,Airplane
78,Airplane
79,Airplane
80,Bird
81,Airplane
82,Bird
83,Airplane
84,Bird
85,Airplane
86,Bird
87,Bird
88,Bird
89,Bird
90,Airplane
91,Bird
92,Airplane
93,Airplane
94,Airplane
95,Bird
96,Airplane
97,Airplane
98,Airplane
99,Airplane
100,Airplane
101,Airplane
102,Airplane
103,Bird
104,Airplane
105,Bird
106,Bird
107,Airplane
108,Airplane
109,Bird
110,Airplane
111,Airplane
112,Airplane
113,Bird
114,Airplane
115,Bird
116,Airplane
117,Airplane
118,Airplane
119,Bird
120,Airplane
121,Bird
122,Airplane
123,Bird
124,Bird
125,Bird
126,Bird
127,Airplane
128,Airplane
129,Airplane
130,Bird
131,Airplane
132,Bird
133,Bird
134,Bird
135,Bird
136,Bird
137,Airplane
138,Airplane
139,Airplane
140,Airplane
141,Airplane
142,Airplane
143,Airplane
144,Airplane
145,Bird
146,Airplane
147,Airplane
148,Airplane
149,Airplane
150,Airplane
151,Airplane
152,Airplane
153,Bird
154,Bird
155,Bird
156,Airplane
157,Airplane
158,Bird
159,Bird
160,Airplane
161,Airplane
162,Bird
163,Bird
164,Airplane
165,Airplane
166,Airplane
167,Airplane
168,Bird
169,Bird
170,Bird
171,Bird
172,Airplane
173,Bird
174,Bird
175,Bird
176,Bird
177,Airplane
178,Airplane
179,Airplane
180,Airplane
181,Airplane
182,Airplane
183,Bird
184,Bird
185,Airplane
186,Airplane
187,Bird
188,Bird
189,Airplane
190,Airplane
191,Bird
192,Bird
193,Airplane
194,Bird
195,Bird
196,Bird
197,Bird
198,Bird
199,Bird
200,Bird
201,Airplane
202,Bird
203,Bird
204,Airplane
205,Bird
206,Airplane
207,Airplane
208,Bird
209,Airplane
210,Bird
211,Bird
212,Airplane
213,Bird
214,Bird
215,Airplane
216,Bird
217,Bird
218,Bird
219,Airplane
220,Airplane
221,Airplane
222,Airplane
223,Airplane
224,Airplane
225,Bird
226,Airplane
227,Bird
228,Airplane
229,Bird
230,Airplane
231,Airplane
